a_age,a_gender,a_race,v_age,v_gender,v_race
31,M,Black or African American,29,F,Black or African American
31,M,Black or African American,29,F,Black or African American
37,M,White,31,F,White
31,M,White,60,M,White
34,M,White,60,M,White
18,M,Black or African American,19,M,Black or African American
23,F,Black or African American,21,F,Black or African American
22,M,Black or African American,20,M,White
48,M,Black or African American,21,M,Black or African American
27,M,Black or African American,27,F,White
20,M,Black or African American,17,M,Black or African American
20,M,Black or African American,19,M,Black or African American
17,M,Black or African American,17,M,Black or African American
17,M,Black or African American,19,M,Black or African American
16,F,White,20,M,Black or African American
16,F,White,20,M,Black or African American
20,M,White,20,M,Black or African American
20,M,White,20,M,Black or African American
17,M,White,20,M,Black or African American
17,M,White,20,M,Black or African American
17,M,Black or African American,28,M,Black or African American
19,F,Black or African American,19,F,Black or African American
19,F,Black or African American,19,M,Black or African American
62,M,White,59,M,White
62,M,White,55,F,White
62,M,White,59,M,White
62,M,White,51,M,White
24,M,Black or African American,29,F,White
24,M,Black or African American,30,F,White
24,M,Black or African American,57,F,White
24,M,Black or African American,27,F,White
24,M,Black or African American,70,M,Black or African American
24,M,Black or African American,52,M,Black or African American
24,M,Black or African American,5,M,Black or African American
24,M,Black or African American,8,F,Black or African American
24,M,Black or African American,45,F,Black or African American
31,M,Black or African American,35,M,Black or African American
31,M,Black or African American,34,M,Black or African American
24,M,White,48,M,White
34,M,Black or African American,32,M,Black or African American
34,M,Black or African American,33,M,Black or African American
21,M,Black or African American,20,M,Black or African American
20,M,Black or African American,20,M,Black or African American
18,M,Black or African American,18,M,White
18,M,Black or African American,20,M,White
18,M,Black or African American,26,M,White
17,M,Black or African American,18,M,White
17,M,Black or African American,20,M,White
17,M,Black or African American,26,M,White
30,M,White,27,F,White
16,F,White,16,M,White
25,M,Black or African American,32,M,Black or African American
25,M,Black or African American,54,M,Black or African American
37,M,White,56,F,White
17,M,Black or African American,19,M,Black or African American
24,M,Black or African American,56,M,White
24,M,Black or African American,64,M,Black or African American
67,F,White,55,M,White
20,M,Black or African American,14,F,Black or African American
24,M,Black or African American,39,M,Black or African American
33,M,Black or African American,14,M,Black or African American
33,M,Black or African American,15,M,Black or African American
33,M,Black or African American,17,M,Black or African American
26,M,Black or African American,49,M,White
21,M,Black or African American,51,M,Black or African American
22,M,Black or African American,29,M,White
54,M,Black or African American,26,F,Black or African American
33,M,Black or African American,38,M,White
33,M,Black or African American,33,M,Black or African American
33,M,Black or African American,24,M,Black or African American
33,M,Black or African American,34,M,Black or African American
33,M,Black or African American,35,M,White
33,M,Black or African American,25,M,Black or African American
33,M,Black or African American,31,M,Black or African American
33,M,Black or African American,25,M,White
33,M,Black or African American,31,M,Black or African American
33,M,Black or African American,27,M,White
33,M,Black or African American,36,M,Black or African American
33,M,Black or African American,34,M,Black or African American
19,M,Black or African American,19,M,Black or African American
19,F,White,29,M,White
28,M,White,18,M,White
22,F,White,18,M,White
43,F,White,50,M,White
20,M,White,50,M,White
19,M,White,50,M,White
18,F,White,50,M,White
19,M,Black or African American,19,M,Black or African American
19,M,Black or African American,20,M,Black or African American
19,M,Black or African American,29,F,Black or African American
16,M,Black or African American,15,M,Black or African American
25,M,Black or African American,54,M,Black or African American
29,M,Black or African American,47,F,Black or African American
15,M,Black or African American,19,M,Black or African American
15,M,Black or African American,20,M,Black or African American
15,M,Black or African American,29,F,Black or African American
19,F,White,50,M,White
19,M,Black or African American,15,M,Black or African American
19,M,Black or African American,33,M,White
19,M,Black or African American,47,M,Black or African American
20,M,Black or African American,33,M,White
20,M,Black or African American,47,M,Black or African American
50,M,White,14,F,White
16,M,Black or African American,19,M,Black or African American
16,M,Black or African American,17,F,Black or African American
16,M,Black or African American,17,F,Black or African American
16,M,Black or African American,17,F,Black or African American
31,M,Black or African American,3,M,Black or African American
31,M,Black or African American,29,F,Black or African American
31,M,Black or African American,10,F,Black or African American
31,M,Black or African American,5,F,Black or African American
31,M,Black or African American,3,M,Black or African American
31,M,Black or African American,2,M,Black or African American
31,M,Black or African American,,M,Black or African American
31,M,Black or African American,28,M,Black or African American
29,F,Black or African American,31,M,Black or African American
39,M,Black or African American,56,F,Black or African American
26,M,Black or African American,24,M,Black or African American
26,M,Black or African American,28,M,Black or African American
19,M,Black or African American,17,F,Black or African American
19,M,Black or African American,18,M,Black or African American
20,M,White,50,M,White
16,M,Black or African American,16,M,Black or African American
27,F,White,30,M,White
41,M,White,31,M,White
43,M,Black or African American,20,M,Black or African American
19,M,Black or African American,51,M,Black or African American
45,M,White,48,M,White
47,M,White,49,F,White
25,M,Black or African American,20,F,Black or African American
25,M,Black or African American,16,M,Black or African American
25,M,Black or African American,25,M,White
22,M,Black or African American,20,F,Black or African American
22,M,Black or African American,16,M,Black or African American
22,M,Black or African American,25,M,White
25,M,Black or African American,40,M,White
14,M,Black or African American,17,M,Black or African American
23,M,Black or African American,22,M,Black or African American
19,F,Black or African American,25,M,Black or African American
43,F,Black or African American,30,M,White
32,F,Black or African American,30,M,White
20,M,Black or African American,20,M,Black or African American
18,M,Black or African American,19,M,Black or African American
18,M,Black or African American,20,M,Black or African American
18,M,Black or African American,29,F,Black or African American
33,M,Black or African American,55,M,Black or African American
33,F,Black or African American,22,F,Black or African American
21,M,Black or African American,19,M,Black or African American
32,M,Black or African American,33,M,Black or African American
34,M,Black or African American,33,M,Black or African American
34,M,Black or African American,33,M,Black or African American
19,M,Black or African American,18,F,Black or African American
19,M,Black or African American,18,F,Black or African American
19,M,Black or African American,19,F,Black or African American
19,M,Black or African American,1,F,Black or African American
20,M,Black or African American,20,M,Black or African American
41,M,Black or African American,34,M,Black or African American
34,M,Black or African American,30,M,Black or African American
21,M,White,50,M,White
61,M,White,57,M,White
28,M,Black or African American,38,M,Black or African American
28,M,Black or African American,13,M,Black or African American
23,M,Black or African American,28,M,White
24,M,Black or African American,31,M,Black or African American
19,M,Black or African American,19,M,White
19,M,Black or African American,41,M,Black or African American
19,M,Black or African American,18,F,White
19,M,Black or African American,46,F,White
19,M,Black or African American,40,F,White
19,M,Black or African American,44,M,White
17,M,Black or African American,19,M,White
17,M,Black or African American,41,M,Black or African American
17,M,Black or African American,18,F,White
17,M,Black or African American,46,F,White
17,M,Black or African American,40,F,White
17,M,Black or African American,44,M,White
17,M,Black or African American,19,M,White
17,M,Black or African American,41,M,Black or African American
17,M,Black or African American,18,F,White
17,M,Black or African American,46,F,White
17,M,Black or African American,40,F,White
17,M,Black or African American,44,M,White
19,M,Black or African American,24,M,Black or African American
63,M,White,38,F,White
63,M,White,47,F,White
63,M,White,44,M,White
63,M,White,50,M,White
54,M,White,48,F,White
29,M,White,62,F,White
20,M,White,20,M,White
25,M,Black or African American,23,M,Black or African American
27,M,White,60,M,White
51,M,White,41,M,White
61,M,White,25,M,White
66,M,Black or African American,47,M,Black or African American
24,M,Black or African American,22,F,Black or African American
17,M,Black or African American,36,M,Black or African American
20,M,Black or African American,23,M,Black or African American
20,M,Black or African American,24,M,Black or African American
22,M,Black or African American,18,M,Black or African American
41,M,Black or African American,42,M,Black or African American
41,M,Black or African American,18,F,Black or African American
24,M,White,,M,White
18,M,Black or African American,23,M,Black or African American
18,M,Black or African American,24,M,Black or African American
45,M,White,55,M,White
44,M,White,50,M,White
27,M,Black or African American,25,M,Black or African American
17,M,Black or African American,19,M,White
17,M,Black or African American,15,M,Black or African American
17,M,Black or African American,23,M,Black or African American
17,M,Black or African American,24,M,Black or African American
16,M,Black or African American,20,M,Black or African American
16,M,Black or African American,20,M,Black or African American
19,M,Black or African American,20,M,White
51,M,White,69,M,White
28,M,White,56,M,White
29,M,White,28,M,Black or African American
29,M,White,38,M,Black or African American
29,M,White,29,M,Black or African American
29,M,White,23,M,Black or African American
29,M,White,21,F,Black or African American
29,M,White,19,M,Black or African American
29,M,White,18,F,Black or African American
29,M,White,23,F,Black or African American
29,M,White,41,F,Black or African American
29,M,White,33,F,Black or African American
29,M,White,31,F,White
29,M,White,25,F,White
29,M,White,21,F,Black or African American
29,M,White,24,F,Black or African American
29,M,White,29,M,Black or African American
29,M,White,20,M,White
29,M,White,29,M,Black or African American
29,M,White,26,M,Black or African American
29,M,White,28,M,White
29,M,White,24,M,Black or African American
29,M,White,50,M,White
29,M,White,21,F,Black or African American
29,M,White,40,M,White
36,M,White,41,M,White
18,M,Black or African American,18,M,Black or African American
19,M,Asian,18,M,White
19,M,Black or African American,26,M,Black or African American
30,M,Black or African American,34,M,Black or African American
25,F,White,,F,White
42,F,Black or African American,19,M,Black or African American
42,F,Black or African American,18,M,Black or African American
42,F,Black or African American,16,F,Black or African American
17,M,Black or African American,17,M,Black or African American
58,M,White,69,M,White
64,M,White,56,M,White
24,M,White,27,M,White
22,M,Black or African American,22,M,Black or African American
44,M,White,36,M,White
36,M,Black or African American,25,M,Black or African American
22,M,Black or African American,23,F,White
26,M,Black or African American,47,M,Black or African American
30,M,Black or African American,47,M,Black or African American
40,M,Black or African American,32,M,Black or African American
20,M,Black or African American,33,M,Black or African American
30,M,White,29,M,Black or African American
25,F,Black or African American,2,M,Black or African American
20,M,Black or African American,20,M,Black or African American
25,F,White,2,M,White
33,M,Black or African American,29,M,Black or African American
27,M,White,37,F,White
50,M,Black or African American,54,M,Black or African American
32,F,White,81,M,White
33,M,Black or African American,24,M,White
33,M,Black or African American,23,F,White
33,M,Black or African American,25,M,White
52,M,Black or African American,54,M,Black or African American
27,F,Black or African American,26,M,White
32,M,Black or African American,45,M,Black or African American
18,M,White,16,M,Black or African American
21,M,Black or African American,25,M,Black or African American
26,M,Black or African American,40,M,White
31,F,White,45,F,White
24,M,Black or African American,22,F,White
31,M,Black or African American,22,F,White
27,M,Black or African American,22,F,White
24,M,Black or African American,22,F,White
24,M,Black or African American,18,M,Black or African American
23,M,White,63,M,White
36,M,White,45,F,White
23,M,Black or African American,21,M,White
28,M,White,61,M,White
38,F,White,32,M,White
26,M,White,3,F,Unknown
13,M,Black or African American,71,M,White
14,M,Black or African American,71,M,White
14,M,Black or African American,71,M,White
33,M,Black or African American,32,F,Black or African American
33,M,Black or African American,32,M,Black or African American
31,M,White,32,M,White
37,M,White,28,M,White
22,M,Black or African American,23,M,Black or African American
22,M,Black or African American,25,M,Black or African American
32,M,White,38,M,White
35,M,White,28,M,White
17,M,Black or African American,26,M,Black or African American
22,M,Black or African American,30,M,Black or African American
22,M,Black or African American,23,M,Black or African American
36,M,Black or African American,38,F,Black or African American
36,M,White,46,M,White
20,F,White,68,M,White
28,M,White,25,F,White
42,M,White,22,M,White
41,M,Black or African American,40,M,Black or African American
33,F,Black or African American,11,F,Black or African American
13,M,Black or African American,11,F,Black or African American
34,M,White,32,M,White
50,M,White,50,M,White
52,M,White,50,M,White
47,M,Black or African American,50,M,White
27,M,Black or African American,21,M,White
27,M,Black or African American,36,F,Black or African American
29,F,Black or African American,53,M,Black or African American
18,M,Black or African American,42,M,Black or African American
18,M,Black or African American,19,F,Black or African American
18,M,Black or African American,17,M,Black or African American
18,M,Black or African American,19,M,Black or African American
18,M,Black or African American,16,F,Black or African American
18,M,Black or African American,29,F,Black or African American
18,M,Black or African American,32,M,Black or African American
18,M,Black or African American,70,F,Black or African American
18,M,Black or African American,10,F,Black or African American
18,M,Black or African American,8,F,Black or African American
18,M,Black or African American,31,F,Black or African American
18,M,Black or African American,42,M,Black or African American
18,M,Black or African American,19,F,Black or African American
18,M,Black or African American,17,M,Black or African American
18,M,Black or African American,19,M,Black or African American
18,M,Black or African American,16,F,Black or African American
18,M,Black or African American,29,F,Black or African American
18,M,Black or African American,32,M,Black or African American
18,M,Black or African American,70,F,Black or African American
18,M,Black or African American,10,F,Black or African American
18,M,Black or African American,8,F,Black or African American
18,M,Black or African American,31,F,Black or African American
18,M,Black or African American,16,M,Black or African American
15,M,Black or African American,16,M,Black or African American
18,M,White,19,M,White
18,M,White,15,M,Black or African American
38,F,Black or African American,22,M,White
67,F,White,36,F,White
29,M,White,25,M,Black or African American
37,M,Black or African American,39,M,Black or African American
45,M,Black or African American,42,F,Black or African American
25,M,Black or African American,79,M,Black or African American
18,M,Black or African American,42,M,Black or African American
18,M,Black or African American,19,F,Black or African American
18,M,Black or African American,17,M,Black or African American
18,M,Black or African American,19,M,Black or African American
18,M,Black or African American,16,F,Black or African American
18,M,Black or African American,29,F,Black or African American
18,M,Black or African American,32,M,Black or African American
18,M,Black or African American,70,F,Black or African American
18,M,Black or African American,10,F,Black or African American
18,M,Black or African American,8,F,Black or African American
18,M,Black or African American,31,F,Black or African American
15,M,Black or African American,42,M,Black or African American
15,M,Black or African American,19,F,Black or African American
15,M,Black or African American,17,M,Black or African American
15,M,Black or African American,19,M,Black or African American
15,M,Black or African American,16,F,Black or African American
15,M,Black or African American,29,F,Black or African American
15,M,Black or African American,32,M,Black or African American
15,M,Black or African American,70,F,Black or African American
15,M,Black or African American,10,F,Black or African American
15,M,Black or African American,8,F,Black or African American
15,M,Black or African American,31,F,Black or African American
27,M,White,49,F,White
43,M,Black or African American,37,F,Black or African American
43,M,Black or African American,43,M,Black or African American
19,M,Black or African American,27,M,Black or African American
56,M,Black or African American,23,M,Black or African American
56,M,Black or African American,18,M,Black or African American
20,F,Black or African American,27,M,Black or African American
23,F,White,27,M,Black or African American
57,M,Black or African American,24,M,Black or African American
57,M,Black or African American,19,M,Black or African American
56,F,White,54,M,White
29,M,White,25,F,White
18,M,Black or African American,17,M,Black or African American
30,M,Black or African American,84,F,Black or African American
30,M,Black or African American,55,M,Black or African American
24,M,Black or African American,26,M,Black or African American
24,M,Black or African American,26,F,Black or African American
24,M,Black or African American,4,M,Black or African American
59,M,White,64,M,White
20,M,White,77,F,White
20,M,White,32,M,White
20,M,White,77,F,White
20,M,White,32,M,White
19,F,White,23,M,White
19,F,White,34,M,White
19,F,White,48,M,White
19,F,White,31,M,White
19,F,White,40,M,White
19,F,White,25,M,White
19,F,White,39,M,White
56,M,Black or African American,48,F,Black or African American
20,M,Black or African American,44,M,Black or African American
20,M,Black or African American,22,M,Black or African American
20,M,Black or African American,44,M,Black or African American
20,M,Black or African American,22,M,Black or African American
77,M,White,60,F,White
20,M,Black or African American,20,M,Black or African American
34,M,Black or African American,42,M,White
35,M,White,31,M,White
31,M,White,29,M,Black or African American
37,M,White,39,F,White
18,M,Black or African American,30,M,Black or African American
19,M,Black or African American,20,M,Black or African American
17,M,Black or African American,18,M,Black or African American
17,M,Black or African American,17,M,Black or African American
17,M,Black or African American,17,M,Black or African American
17,M,Black or African American,18,M,Black or African American
18,M,Black or African American,37,M,Black or African American
51,M,Black or African American,46,F,Black or African American
17,M,Black or African American,20,M,Black or African American
44,M,Black or African American,67,F,Black or African American
49,F,White,55,M,White
23,M,Black or African American,45,M,Black or African American
23,M,Black or African American,35,M,Black or African American
23,M,Black or African American,30,M,Black or African American
23,M,Black or African American,69,M,Black or African American
23,M,Black or African American,58,M,Black or African American
23,M,Black or African American,53,M,Black or African American
25,M,Black or African American,45,M,Black or African American
25,M,Black or African American,35,M,Black or African American
25,M,Black or African American,30,M,Black or African American
25,M,Black or African American,69,M,Black or African American
25,M,Black or African American,58,M,Black or African American
25,M,Black or African American,53,M,Black or African American
18,M,Black or African American,27,M,Black or African American
28,M,Black or African American,27,M,Black or African American
28,M,Black or African American,31,M,Black or African American
27,M,Black or African American,24,M,Black or African American
35,M,Black or African American,37,M,White
22,M,Black or African American,22,F,White
67,M,White,68,F,White
73,M,White,52,F,White
20,F,Black or African American,19,M,White
20,F,Black or African American,15,M,Black or African American
20,M,Black or African American,30,M,White
20,M,Black or African American,30,M,White
18,M,Black or African American,23,M,Black or African American
20,M,Black or African American,23,M,Black or African American
17,F,Black or African American,23,M,Black or African American
38,M,White,31,M,White
26,M,White,20,M,White
25,M,Black or African American,26,M,Black or African American
25,M,Black or African American,24,F,Black or African American
16,M,Black or African American,55,F,Black or African American
16,M,Black or African American,20,F,Black or African American
16,M,Black or African American,16,M,Black or African American
16,M,Black or African American,9,F,Black or African American
16,M,Black or African American,14,M,Black or African American
16,M,Black or African American,16,M,Black or African American
16,M,Black or African American,2,M,Black or African American
16,M,Black or African American,1,M,Black or African American
16,M,Black or African American,14,M,Black or African American
24,M,Black or African American,53,M,White
46,M,White,15,M,White
18,F,White,17,M,White
18,M,Black or African American,54,F,White
18,M,Black or African American,54,F,White
18,M,Black or African American,24,M,Black or African American
36,M,Black or African American,33,M,Black or African American
33,M,Black or African American,53,M,Black or African American
53,M,Asian,48,M,Asian
29,M,White,26,M,White
33,F,White,26,M,White
24,M,Black or African American,19,M,Black or African American
23,M,Black or African American,27,M,Black or African American
23,M,Black or African American,34,M,Black or African American
57,M,Black or African American,42,F,Black or African American
24,F,Black or African American,27,M,Black or African American
24,F,Black or African American,34,M,Black or African American
18,M,Black or African American,27,M,Black or African American
18,M,Black or African American,34,M,Black or African American
24,F,Black or African American,57,M,White
37,F,White,83,M,White
24,M,Black or African American,24,M,Black or African American
24,M,Black or African American,27,M,Black or African American
29,F,White,27,M,White
29,F,White,52,M,Black or African American
48,M,Black or African American,48,M,Black or African American
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,14,F,Black or African American
19,M,Black or African American,15,M,Black or African American
19,M,Black or African American,39,F,Black or African American
25,F,Black or African American,50,M,Black or African American
27,M,Black or African American,50,M,Black or African American
40,M,White,49,M,White
64,M,White,43,M,White
54,M,White,45,F,White
21,M,White,21,M,White
36,M,White,56,M,White
32,M,Black or African American,36,F,Black or African American
14,M,White,47,M,Unknown
26,M,Black or African American,2,M,Black or African American
48,M,Black or African American,48,M,Black or African American
15,M,White,57,M,White
74,M,White,58,F,White
74,M,White,54,M,White
46,M,Black or African American,18,M,Black or African American
25,M,Black or African American,52,M,Black or African American
26,M,Black or African American,24,M,Black or African American
37,M,Black or African American,6,M,Black or African American
21,M,Black or African American,50,M,Black or African American
29,M,Black or African American,23,M,Black or African American
29,M,Black or African American,30,F,Black or African American
30,M,Black or African American,42,M,White
25,M,White,61,M,White
17,M,Black or African American,22,F,White
17,M,Black or African American,19,F,Black or African American
37,M,White,32,F,White
37,M,White,50,M,White
37,M,White,38,M,White
22,M,Black or African American,46,M,Black or African American
27,M,White,2,F,White
25,M,White,25,M,Black or African American
26,M,White,49,M,White
20,M,Black or African American,30,F,White
20,M,Black or African American,32,F,White
20,M,Black or African American,34,M,White
27,M,Black or African American,30,F,White
27,M,Black or African American,32,F,White
27,M,Black or African American,34,M,White
27,M,Black or African American,32,M,White
27,M,Black or African American,32,M,White
20,M,Black or African American,32,M,White
20,M,Black or African American,32,M,White
19,M,Black or African American,25,M,White
16,F,Black or African American,64,M,White
18,M,Black or African American,64,M,White
22,M,Black or African American,64,M,White
17,M,Black or African American,18,M,Black or African American
17,M,Black or African American,17,M,Black or African American
32,M,White,25,M,White
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,17,M,Black or African American
18,M,Black or African American,46,M,Black or African American
25,M,Black or African American,23,M,Black or African American
31,F,White,28,M,Black or African American
47,M,White,50,M,White
31,M,White,3,M,White
29,M,Black or African American,27,F,White
34,M,Black or African American,31,F,White
34,M,Black or African American,26,F,White
28,M,White,22,M,White
23,F,White,22,M,White
32,M,Black or African American,27,F,White
17,M,Black or African American,16,M,Black or African American
14,M,Black or African American,14,M,White
29,M,Black or African American,31,M,Black or African American
31,M,Black or African American,23,F,Black or African American
31,M,Black or African American,22,F,Black or African American
31,M,Black or African American,3,F,Black or African American
42,M,White,57,M,White
40,M,Black or African American,2,M,Black or African American
20,F,White,22,M,Black or African American
63,M,White,64,F,White
25,M,Black or African American,32,M,Black or African American
25,M,Black or African American,32,M,Black or African American
23,M,Black or African American,41,M,Black or African American
24,M,Unknown,25,M,White
59,M,Black or African American,54,F,White
23,M,Black or African American,24,F,Black or African American
34,M,White,43,M,White
38,M,White,42,F,White
38,M,White,40,M,White
36,M,Black or African American,43,M,Black or African American
30,M,Black or African American,27,M,Black or African American
30,M,Black or African American,66,F,Black or African American
30,M,Black or African American,9,M,Black or African American
23,M,Black or African American,66,F,Black or African American
23,M,Black or African American,9,M,Black or African American
26,M,Black or African American,25,F,Black or African American
23,M,Black or African American,66,F,Black or African American
23,M,Black or African American,9,M,Black or African American
26,M,Black or African American,44,M,Black or African American
22,M,Black or African American,19,M,Black or African American
28,M,White,4,F,White
23,M,White,22,F,White
27,F,Black or African American,3,F,Black or African American
27,F,Black or African American,4,F,Black or African American
18,M,Black or African American,19,F,White
26,M,Black or African American,19,M,Black or African American
15,M,White,16,M,Black or African American
51,M,Black or African American,32,F,Black or African American
51,M,Black or African American,31,M,Black or African American
46,M,White,21,F,Black or African American
28,M,White,48,M,White
25,M,Black or African American,18,M,Black or African American
23,M,Black or African American,22,M,Black or African American
23,M,Black or African American,21,M,Black or African American
23,M,Black or African American,25,F,White
54,F,Black or African American,3,F,Black or African American
54,F,Black or African American,4,F,Black or African American
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
18,M,White,18,M,Black or African American
18,M,White,25,M,Black or African American
18,M,Black or African American,42,M,White
18,M,Black or African American,50,F,White
17,M,Black or African American,42,M,White
17,M,Black or African American,50,F,White
16,M,Black or African American,42,M,White
16,M,Black or African American,50,F,White
16,M,Black or African American,42,M,White
16,M,Black or African American,50,F,White
52,M,White,50,F,White
14,M,Black or African American,55,F,White
19,M,Black or African American,48,M,Black or African American
19,M,Black or African American,35,M,American Indian or Alaska Native
23,M,Black or African American,48,M,Black or African American
23,M,Black or African American,35,M,American Indian or Alaska Native
21,M,Black or African American,48,M,Black or African American
21,M,Black or African American,35,M,American Indian or Alaska Native
14,M,Black or African American,48,M,Black or African American
14,M,Black or African American,35,M,American Indian or Alaska Native
15,M,Black or African American,48,M,Black or African American
15,M,Black or African American,35,M,American Indian or Alaska Native
13,M,Black or African American,48,M,Black or African American
13,M,Black or African American,35,M,American Indian or Alaska Native
14,M,Black or African American,68,M,Black or African American
53,M,White,47,F,White
36,F,Black or African American,48,M,Black or African American
40,M,Black or African American,41,M,Black or African American
36,M,Black or African American,52,M,Asian
36,M,Black or African American,44,M,Black or African American
56,M,Black or African American,15,F,Black or African American
56,M,Black or African American,44,F,Black or African American
56,M,Black or African American,42,M,Black or African American
56,M,Black or African American,18,F,Black or African American
42,M,White,40,F,White
16,M,Black or African American,61,M,White
16,M,Black or African American,33,F,White
16,M,Black or African American,61,F,White
16,M,Black or African American,30,M,Black or African American
30,F,White,30,M,White
31,M,Black or African American,30,M,Black or African American
26,M,Black or African American,25,M,Black or African American
26,M,Black or African American,26,M,Black or African American
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
25,M,Black or African American,59,M,Black or African American
25,M,Black or African American,59,M,Black or African American
20,M,Black or African American,21,M,Black or African American
25,M,Black or African American,21,M,Black or African American
19,F,White,68,M,White
26,M,Black or African American,19,M,Black or African American
20,M,Black or African American,21,M,Black or African American
41,M,White,40,M,White
18,M,Black or African American,19,M,Black or African American
19,M,Black or African American,19,F,Black or African American
33,M,White,71,M,Black or African American
16,M,Black or African American,18,M,Black or African American
28,M,Black or African American,20,M,Black or African American
48,M,White,33,M,White
48,M,White,58,M,White
48,M,White,44,F,White
27,M,Black or African American,32,F,Black or African American
27,M,Black or African American,31,M,Black or African American
39,M,Black or African American,42,F,Black or African American
44,M,White,22,M,White
18,M,White,19,M,White
14,M,Black or African American,53,M,White
14,M,Black or African American,50,M,White
24,M,Black or African American,18,M,Black or African American
20,M,Black or African American,18,M,Black or African American
20,M,Black or African American,37,F,Black or African American
20,M,Black or African American,22,F,Black or African American
20,M,Black or African American,6,F,Black or African American
20,M,Black or African American,1,F,Black or African American
18,F,White,25,M,White
25,M,White,25,M,White
26,M,White,22,M,White
41,M,Black or African American,28,M,Black or African American
21,M,Black or African American,21,M,Black or African American
53,M,White,77,M,White
18,M,Black or African American,18,F,Black or African American
18,M,Black or African American,20,F,Black or African American
18,M,Black or African American,12,M,Black or African American
18,M,Black or African American,12,M,Black or African American
27,M,White,,M,White
19,M,White,30,M,Black or African American
19,M,White,32,M,White
19,M,White,46,F,White
19,M,White,32,M,White
19,M,White,42,M,White
19,M,White,29,M,White
41,M,Black or African American,49,F,Black or African American
41,M,Black or African American,62,M,Black or African American
27,F,White,28,M,White
29,M,Black or African American,26,F,Black or African American
32,M,White,28,M,White
20,M,Black or African American,40,M,White
27,M,Black or African American,40,M,White
18,M,Black or African American,53,M,Black or African American
18,M,Black or African American,21,F,Black or African American
18,M,Black or African American,26,F,Black or African American
18,M,Black or African American,3,M,Black or African American
18,M,Black or African American,6,F,Black or African American
18,M,Black or African American,10,U,Black or African American
18,M,Black or African American,6,U,Black or African American
32,M,White,,M,Black or African American
49,M,White,55,M,White
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,18,M,Black or African American
20,M,Black or African American,20,M,Black or African American
16,M,Black or African American,20,M,Black or African American
25,M,Black or African American,,F,Black or African American
25,M,Black or African American,22,F,Black or African American
25,M,Black or African American,1,M,Black or African American
44,M,White,30,M,White
31,M,Black or African American,30,M,Black or African American
30,M,White,28,M,White
18,M,White,20,M,White
